"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-306U1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.049807119, [235, -3305]
2023-09-24_04:54:00.049905747, [423, -3414]
2023-09-24_04:54:00.050004375, [28, -3444]
2023-09-24_04:54:00.050103003, [-233, -3395]
2023-09-24_04:54:00.050201631, [-302, -3379]
2023-09-24_04:54:00.050300259, [-622, -3364]
2023-09-24_04:54:00.050398887, [-524, -3450]
2023-09-24_04:54:00.050497515, [-3, -3425]
2023-09-24_04:54:00.050596143, [103, -3462]
2023-09-24_04:54:00.050694771, [-18, -3566]
2023-09-24_04:54:00.050793399, [359, -3484]
2023-09-24_04:54:00.050892027, [892, -3300]
2023-09-24_04:54:00.050990655, [1182, -3295]
2023-09-24_04:54:00.051089283, [940, -3284]
2023-09-24_04:54:00.051187911, [105, -3175]
2023-09-24_04:54:00.051286539, [-324, -3155]
2023-09-24_04:54:00.051385167, [-456, -3238]
2023-09-24_04:54:00.051483795, [-226, -3369]
2023-09-24_04:54:00.051582423, [281, -3430]
2023-09-24_04:54:00.051681051, [230, -3453]
2023-09-24_04:54:00.051779679, [264, -3361]
2023-09-24_04:54:00.051878307, [385, -3357]
2023-09-24_04:54:00.051976935, [167, -3370]
2023-09-24_04:54:00.052075562, [249, -3518]
2023-09-24_04:54:00.052174190, [804, -3670]
2023-09-24_04:54:00.052272818, [1107, -3600]
2023-09-24_04:54:00.052371446, [693, -3476]
2023-09-24_04:54:00.052470074, [8, -3425]
2023-09-24_04:54:00.052568702, [-395, -3529]
