"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-319U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.043494930, [1093, -85]
2023-09-24_04:54:00.043593558, [1396, -189]
2023-09-24_04:54:00.043692186, [1192, -301]
2023-09-24_04:54:00.043790814, [1125, -277]
2023-09-24_04:54:00.043889442, [1367, -217]
2023-09-24_04:54:00.043988070, [1447, -105]
2023-09-24_04:54:00.044086698, [1672, -48]
2023-09-24_04:54:00.044185326, [2244, -89]
2023-09-24_04:54:00.044283954, [2740, -139]
2023-09-24_04:54:00.044382582, [2891, -107]
2023-09-24_04:54:00.044481210, [2813, -180]
2023-09-24_04:54:00.044579838, [2412, -300]
2023-09-24_04:54:00.044678465, [1921, -251]
2023-09-24_04:54:00.044777093, [1639, -229]
2023-09-24_04:54:00.044875721, [1918, -307]
2023-09-24_04:54:00.044974349, [2515, -309]
2023-09-24_04:54:00.045072977, [3003, -260]
2023-09-24_04:54:00.045171605, [3345, -193]
2023-09-24_04:54:00.045270233, [3418, -134]
2023-09-24_04:54:00.045368861, [3203, -109]
2023-09-24_04:54:00.045467489, [3154, -93]
2023-09-24_04:54:00.045566117, [3472, -129]
2023-09-24_04:54:00.045664745, [3317, -156]
2023-09-24_04:54:00.045763373, [2654, -270]
2023-09-24_04:54:00.045862001, [2011, -331]
2023-09-24_04:54:00.045960629, [1879, -226]
2023-09-24_04:54:00.046059257, [2368, -213]
2023-09-24_04:54:00.046157885, [2930, -221]
2023-09-24_04:54:00.046256513, [3222, -166]
2023-09-24_04:54:00.046355141, [2842, 4]
2023-09-24_04:54:00.046453769, [2277, 50]
2023-09-24_04:54:00.046552397, [1888, 42]
2023-09-24_04:54:00.046651025, [1973, 93]
2023-09-24_04:54:00.046749653, [2439, 65]
2023-09-24_04:54:00.046848281, [2423, 122]
2023-09-24_04:54:00.046946909, [1954, 220]
2023-09-24_04:54:00.047045537, [1567, 78]
2023-09-24_04:54:00.047144164, [1664, -124]
2023-09-24_04:54:00.047242792, [1792, -148]
2023-09-24_04:54:00.047341420, [1730, -142]
2023-09-24_04:54:00.047440048, [1693, -233]
2023-09-24_04:54:00.047538676, [1806, -225]
2023-09-24_04:54:00.047637304, [1802, -92]
2023-09-24_04:54:00.047735932, [1602, -39]
2023-09-24_04:54:00.047834560, [1320, -129]
2023-09-24_04:54:00.047933188, [810, -75]
2023-09-24_04:54:00.048031816, [369, 31]
2023-09-24_04:54:00.048130444, [567, -54]
2023-09-24_04:54:00.048229072, [1257, -143]
2023-09-24_04:54:00.048327700, [1484, -137]
2023-09-24_04:54:00.048426328, [1658, -38]
2023-09-24_04:54:00.048524956, [1827, -63]
2023-09-24_04:54:00.048623584, [1782, -100]
2023-09-24_04:54:00.048722212, [1498, -128]
2023-09-24_04:54:00.048820840, [921, -234]
2023-09-24_04:54:00.048919468, [338, -215]
2023-09-24_04:54:00.049018096, [487, -100]
2023-09-24_04:54:00.049116724, [1272, 14]
2023-09-24_04:54:00.049215352, [1575, 9]
2023-09-24_04:54:00.049313980, [1518, -88]
2023-09-24_04:54:00.049412608, [1538, -54]
2023-09-24_04:54:00.049511236, [1911, -43]
2023-09-24_04:54:00.049609863, [2227, -144]
2023-09-24_04:54:00.049708491, [2236, -164]
